iter	TotalF1	CrossEntropy
0	0.5705443981	0.6778157143
1	0.6434676435	0.655211527
2	0.6434676435	0.6450986185
3	0.6434676435	0.6409720584
4	0.6434676435	0.6364087836
5	0.6434676435	0.6345654956
6	0.6434676435	0.6333063159
7	0.6515003674	0.6290593086
8	0.6515003674	0.6276523594
9	0.6515003674	0.624436642
10	0.6515003674	0.6225400654
11	0.6515003674	0.6202092949
12	0.6515003674	0.6182968725
13	0.6515003674	0.6179214657
14	0.6515003674	0.6153390075
15	0.6515003674	0.6132628581
16	0.6515003674	0.6121667672
17	0.6515003674	0.61187144
18	0.6515003674	0.6116832861
19	0.6515003674	0.6115035982
20	0.6515003674	0.610956055
21	0.6515003674	0.6108762214
22	0.6515003674	0.6102450997
23	0.6515003674	0.6101886761
24	0.6515003674	0.6101244722
25	0.6515003674	0.609863878
26	0.6515003674	0.6097966803
27	0.6515003674	0.6097530132
28	0.6515003674	0.6093255168
29	0.6515003674	0.6090817617
30	0.6515003674	0.6090421143
31	0.6515003674	0.60899181
32	0.6155223065	0.6084646888
33	0.6155223065	0.6084258874
34	0.6515003674	0.6083908651
35	0.6515003674	0.6083860278
36	0.6155223065	0.6082503458
37	0.6515003674	0.6078261452
38	0.6515003674	0.6077375842
39	0.6515003674	0.6076686701
40	0.6515003674	0.6076022238
41	0.6155223065	0.6073620706
42	0.6155223065	0.6072296959
43	0.6155223065	0.6071951505
44	0.6515003674	0.6063950975
45	0.6515003674	0.6063659108
46	0.6515003674	0.6063386819
47	0.6515003674	0.6063126838
48	0.6515003674	0.6062575952
49	0.6515003674	0.6056827053
50	0.6515003674	0.6055682521
51	0.6515003674	0.605489763
52	0.6515003674	0.6050624545
53	0.6515003674	0.6050125593
54	0.6515003674	0.6049431914
55	0.6515003674	0.604862101
56	0.6515003674	0.6048162855
57	0.6515003674	0.6048160376
58	0.6515003674	0.604761806
59	0.6515003674	0.6047303168
60	0.6515003674	0.6047028722
61	0.6515003674	0.6046802946
62	0.6515003674	0.604655462
63	0.6515003674	0.6046269599
64	0.6515003674	0.6046086682
65	0.6515003674	0.604590184
66	0.6155223065	0.6045675939
67	0.6155223065	0.604530512
68	0.6155223065	0.6045099404
69	0.6155223065	0.6045054419
70	0.6155223065	0.604487493
71	0.6515003674	0.6041343738
72	0.6515003674	0.604116183
73	0.6515003674	0.6039916091
74	0.6515003674	0.6039588692
75	0.6155223065	0.6039385273
76	0.6515003674	0.6036828219
77	0.6515003674	0.6036249739
78	0.6515003674	0.6036128018
79	0.6515003674	0.6036122813
80	0.6515003674	0.6035925047
81	0.6515003674	0.6035747228
82	0.6515003674	0.6035521463
83	0.6515003674	0.6035213384
84	0.6515003674	0.6035208882
85	0.6515003674	0.603501776
86	0.6515003674	0.6034525947
87	0.6515003674	0.60343954
88	0.6515003674	0.6034235758
89	0.6515003674	0.6034053917
90	0.6515003674	0.6033739032
91	0.6515003674	0.6033459382
92	0.6515003674	0.6033459226
93	0.6515003674	0.6033306276
94	0.6515003674	0.6033029872
95	0.6515003674	0.6032891554
96	0.6515003674	0.6031216913
97	0.6515003674	0.6031212846
98	0.6515003674	0.6031102013
99	0.6515003674	0.6030903887
100	0.6515003674	0.6030806631
101	0.6515003674	0.6030642401
102	0.6515003674	0.6029344981
103	0.6515003674	0.6029166667
104	0.6515003674	0.6029024439
105	0.6515003674	0.6029024365
106	0.6515003674	0.60289929
107	0.6515003674	0.6028859465
108	0.6515003674	0.6028627063
109	0.6515003674	0.6028529723
110	0.6515003674	0.6028306231
111	0.6515003674	0.6028306231
112	0.6515003674	0.6028306231
113	0.6515003674	0.6028306231
114	0.6515003674	0.6028306231
115	0.6515003674	0.602820008
116	0.6515003674	0.6026982732
117	0.6515003674	0.6026972107
118	0.6515003674	0.6026969918
119	0.6515003674	0.6026926908
120	0.6515003674	0.6026710825
121	0.6515003674	0.6026612572
122	0.6515003674	0.6026391382
123	0.6515003674	0.6026352316
124	0.6515003674	0.6026227629
125	0.6515003674	0.6025363755
126	0.6515003674	0.6024029456
127	0.6515003674	0.6024004615
128	0.6515003674	0.6023816712
129	0.6515003674	0.6023541871
130	0.6515003674	0.6023515514
131	0.6515003674	0.6023327919
132	0.6515003674	0.6023146787
133	0.6515003674	0.6023107648
134	0.6515003674	0.6023016794
135	0.6515003674	0.6022838054
136	0.6515003674	0.602266482
137	0.6515003674	0.6022647428
138	0.6515003674	0.6022057719
139	0.6515003674	0.6021959809
