iter	Passed	Remaining
0	1	2477
1	3	2443
2	5	2434
3	7	2436
4	9	2480
5	11	2472
6	13	2446
7	15	2461
8	18	2492
9	20	2506
10	22	2499
11	24	2486
12	25	2479
13	27	2478
14	29	2465
15	31	2458
16	33	2448
17	35	2451
18	37	2429
19	39	2424
20	41	2419
21	42	2394
22	44	2395
23	46	2381
24	48	2372
25	49	2355
26	51	2352
27	53	2336
28	55	2334
29	57	2328
30	58	2320
31	60	2308
32	62	2308
33	63	2296
34	65	2286
35	67	2280
36	69	2277
37	70	2271
38	72	2266
39	74	2255
40	76	2256
41	77	2247
42	79	2250
43	81	2246
44	83	2241
45	85	2238
46	86	2235
47	88	2230
48	90	2224
49	92	2217
50	93	2214
51	95	2208
52	97	2211
53	99	2205
54	100	2199
55	102	2195
56	104	2193
57	106	2187
58	107	2182
59	109	2180
60	111	2176
61	113	2174
62	114	2170
63	116	2168
64	118	2163
65	119	2159
66	121	2158
67	123	2159
68	125	2157
69	127	2153
70	128	2148
71	130	2146
72	132	2141
73	133	2138
74	135	2135
75	138	2143
76	139	2141
77	141	2140
78	143	2136
79	145	2130
80	146	2127
81	148	2124
82	150	2120
83	152	2120
84	154	2121
85	155	2120
86	157	2118
87	159	2113
88	161	2109
89	162	2106
90	164	2107
91	166	2106
92	168	2102
93	170	2104
94	172	2104
95	174	2102
96	176	2102
97	177	2099
98	179	2095
99	181	2092
100	182	2087
101	184	2086
102	186	2088
103	188	2085
104	189	2080
105	191	2076
106	193	2072
107	195	2071
108	196	2068
109	198	2064
110	199	2061
111	201	2060
112	203	2057
113	205	2054
114	206	2050
115	208	2045
116	209	2042
117	211	2036
118	213	2033
119	214	2029
120	216	2026
121	218	2024
122	219	2023
123	221	2017
124	222	2013
125	224	2010
126	226	2008
127	227	2002
128	229	2001
129	230	1998
130	232	1993
131	234	1994
132	236	1993
133	237	1988
134	239	1985
135	240	1982
136	242	1980
137	244	1976
138	245	1972
139	247	1969
140	249	1970
141	251	1969
142	253	1968
143	254	1964
144	256	1962
145	257	1958
146	259	1956
147	261	1954
148	263	1952
149	264	1950
150	266	1949
151	268	1945
